questions,category
Me & my fiancé are experiencing a red burning itchy scaling rash. Me on my butt & in the lining of the cheeks. Him on his inner thighs & stomach?,Specific Health Conditions and Diseases
Mom's eye are red and she is rubbing her eyes. Any suggestions?,Specific Health Conditions and Diseases
"My baby toe is burning red and swollen,  what can I do.  Thanks?",Specific Health Conditions and Diseases
My bf and I were fooling around with clothes on. And after I noticed ALot of precum on his jeans where my crotch was. Can this get me pregnant?,General Health Information
My cousin is a 14 year old boy. He is 4inch in penile length. My question is ..... is he small for his age?,General Health Information
My doctor says I've got macular edema. What does this mean?,Diagnosis Explanation
"My first day of my last period was on 05/10, i had intercourse on october 17 and october 22. My period is every 31 days. When should I conceived?",Specific Health Conditions and Diseases
"My nipples have been extremely sore since may 14 its june 26 & recently my lower right side has been killing me, but I started birth control on may 11?",Specific Health Conditions and Diseases
My period is usually heavy and lasts five days. This month it came light and only lasted 3 days. I had intercourse 2 days after my last period.,Specific Health Conditions and Diseases
"My son did have surgery on the pereneol nerve that caused his drop foot, doc said it would wake up after awhile, but it's been over a year no lat move?",Treatment Details
"Period was 2 mo late, now been on for 3 wks so far. At the beginning of it all I was intensely stressed But not now. Should I be worried?",Specific Health Conditions and Diseases
Should i be worried about the extreme vaginal air/gas that feels stuck I've been experiencing since my hymen surgery to fix my septate hymen 1 week ago,Specific Health Conditions and Diseases
Should teens use the diet plans on tv?,Lifestyle and Health
"Sign of pregnant in 1 month? Delayed menstrual cycle, is sign o pregnant?",Specific Health Conditions and Diseases
"Sore nipples remains during pregnancy, is this normal?",Specific Health Conditions and Diseases
Taking lexapro 10 mg lamotirigine 200mg and seroqule 100mg and prenatale trying to get pregnant shuld I stop antidepresant know or after I get pregna?,Medication Information
"This is my second month on mononessa, however this my second day taking my inactive pill, still haven't gotten my period is this normal?",Medication Information
Unfortunately I picked up a small scale on my face. Can this hurt my skin??,Specific Health Conditions and Diseases
Unusual sore breasts each month after ovulation for 2 weeks after abortion of twins 9 months ago? ttc is everything ok? also get palpatations dizzines,Specific Health Conditions and Diseases
Upper abdomen pain pulled muscle from working out? Any specific stretch to prevent it?,Lifestyle and Health
Up to how many weeks pregnant can you take an abortion pill?,Treatment Details
Used Lodine or Celebrex (celecoxib) on and off for 3 or 4 years. Occasionally had some stomach burning. Havent used in 3 months can it still cause an ulcer?,Medication Information
We can experience health problem due to dental problem like gingivitis?,Specific Health Conditions and Diseases
What are the common symptoms of bruises?,Specific Health Conditions and Diseases
What are the negative effects of binge-drinking a couple times a month?,Lifestyle and Health
What are the prices of a new medication called roflumilast?,Medication Information
What can you get over-the-counter for nerves?,Medication Information
What does a measles rash look like?,Specific Health Conditions and Diseases
What does inflammation in legs mean?,Specific Health Conditions and Diseases
What does t means a positive ANA test and ifa?,Diagnosis Explanation
What irritation does soap causes to private area?,Specific Health Conditions and Diseases
What is a subchondroplasty procedure and what is the out come?,Treatment Details
What is the best and fastest way to reduce breakthrough bleeding? Im going on my honeymoon in two days . Could I start a new pack ?,Treatment Details
"What to do if I cut my gum on a piece of hard cereal and it was right next to wear my wisdom tooth is growing in, will than affect the tooth in any way?",Specific Health Conditions and Diseases
What to do if I have some symptoms thought that i don't know if they could be PMS or pregnancy ?,Specific Health Conditions and Diseases
What types of exercises are recommended for rehabilitating from chondromalacia patella?,Treatment Details
What types of medication are effective at reducing or eliminating PVCs?,Treatment Details
"When I have a soft stool I have to wipe perineum as there is feces there, not on vagina but the skin under. Always wipe front to back. Is this normal?",Lifestyle and Health
When must I get a flu shot in preparation for moving to assisted living?,Preventive Medicine
Why does 7 months premature baby is safer than 8 months premature baby?,Specific Health Conditions and Diseases
"Will bodybuiling at sixteen and a half slow my height growth, im just 5'7ft?",Lifestyle and Health
Will doctors help young couples get pregnant?,Preventive Medicine
Woke up with both hands feeling number and tingling.  What is this?,Specific Health Conditions and Diseases
"Would I be liable to get my medical card if I have ADHD , neurofibromatosis, asthma and anexity?",Specific Health Conditions and Diseases
Wrist and knuckle got lightly burned from touching a pan. No blisters. Applying polysporin (bacitracin and polymyxin) 3-4 times or more daily. Should I be worried of overdose?,Medication Information
"Yesterday had like 24hr bug with vomiting and bad diorreah waterlike, today a rash has appeared very itchy looks like measles but it isn't, what is it?",Specific Health Conditions and Diseases
"20yrs Female. Fever at night, goes away by morning.Saliva dries out quickly during day.Swollen tonsil, swelling is reducing. What to do?",Specific Health Conditions and Diseases
According to my ovulation 28 day cycle i was supposed to get my periods on 7may my last period was 9april and today is 10 may.... Could i be pregnant ?,General Health Information
"After 6 months into my post-op, I have more gland leftover in one breast. Should I attribute this to swelling or bad gland tissue?",Treatment Details
Apple cider is helpful in weight reduction and how to use this for this purpose?,Lifestyle and Health
Are small red spots all over the body small pox?,Specific Health Conditions and Diseases
Are there any at-home remedies for athlete's foot?,Treatment Details
"Are these burning cramps normal during early pregnancy? I just found out I am pregnant (don't know how far along yet) and am experiencing some painful cramping. I keep trying to tell myself that it's just my uterus growing, but I wanted to ask on here to",Specific Health Conditions and Diseases
